Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, East",144,"10.2 km south of Hwy 560 to 9.9 km north of Hwy 560, Westree",Resurfacing,Planned,Not available,,20.1,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, East",129,"Mississagi River Bridge, Wharncliffe",Bridge replacement,Planned,2027-2028,,0,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, West",71,"10 km south of Hwy 17 southerly, Sioux Narrows - Nestor Falls","Reconstruction, Paved shoulders",Planned,2027-2028,2025-6001,27.9,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, West",11,"CNR Rainy Lake overhead, 2 km east of Hwy 502, east of Fort Frances",Bridge rehabilitation,Planned,2027-2028,2023-6016,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",11,"Boom Creek Culvert, 14.0 km north of Hwy 17, north of Nipigon",Culvert replacement,Planned,2027-2028,2026-6022,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West","17, 17A, 525, 596, 641, 658, 671, To be assigned","Various locations, Hwy 17, 17A, 71, 525, 596, 641, 658, 671 and 7059, Kenora, east/west/north of Kenora, north of Sioux Narrows-Nestor Falls",Culvert replacement,Planned,2026,2026-6023,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West",502,"Hwy 17 southerly to Hwy 594, Dryden",Reconstruction,Planned,2027-2028,,3,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West","11, 17, 502, 594, 601, 605, 665","Various locations, Hwy 11, 17, 502, 594, 601, 665 and 605, Machin, east/west/south of Dryden, east of Fort Frances",Culvert replacement,Planned,2027-2028,2025-6018,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West",17,"13 km west of Hwy 11 at Shabaqua Corners westerly, west of Conmee","Resurfacing, Paved shoulders",Planned,2027-2028,,26.4,$10 to $25 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",17,"West of Peninsula Rd. easterly, Marathon","Resurfacing, Paved shoulders",Planned,2027-2028,,17.8,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
